Date,Open,High,Low,Close,Volume,Currency,H-L,O-C,SMA_7,SMA_14,SMA_21,SD_7,SD_21
2016-09-05,9000.0,9300.0,8800.0,9100.0,52800,VND,500.0,-100.0,9157.142857142857,9221.42857142857,9414.285714285714,78.67957924658867,407.78145407275196
2016-09-06,8800.0,9200.0,8800.0,9200.0,8200,VND,400.0,-400.0,9171.42857142857,9214.285714285714,9419.047619047618,75.59289460147576,404.49851374142435
2016-09-07,8500.0,9100.0,8500.0,9100.0,39200,VND,600.0,-600.0,9171.42857142857,9171.42857142857,9371.42857142857,75.59289460147576,378.342248688711
2016-09-08,9100.0,9200.0,9100.0,9200.0,4900,VND,100.0,-100.0,9171.42857142857,9171.42857142857,9319.047619047618,75.59289460147576,314.0366978858053
2016-09-09,8900.0,9000.0,8900.0,9000.0,2900,VND,100.0,-100.0,9128.57142857143,9157.142857142857,9309.52380952381,75.59289460147382,320.78772093821607
2016-09-12,9000.0,9100.0,9000.0,9100.0,2800,VND,100.0,-100.0,9114.285714285714,9164.285714285714,9276.190476190477,69.00655593382774,303.15798175989784
2016-09-13,8900.0,9100.0,8900.0,9100.0,4100,VND,200.0,-200.0,9114.285714285714,9135.714285714286,9233.333333333334,69.00655593382774,255.60386016902342
2016-09-14,8400.0,9000.0,8400.0,9000.0,6800,VND,600.0,-600.0,9100.0,9128.57142857143,9180.952380952382,81.64965809242766,166.18979396767904
2016-09-15,8700.0,8700.0,8700.0,8700.0,3200,VND,0.0,0.0,9028.57142857143,9100.0,9152.380952380952,160.35674514727842,193.95630337532057
2016-09-16,8600.0,9000.0,8600.0,9000.0,3900,VND,400.0,-400.0,9014.285714285714,9092.857142857143,9119.047619047618,157.35915849370897,150.3963018794649
2016-09-19,9000.0,9000.0,8700.0,9000.0,1100,VND,300.0,0.0,8985.714285714286,9078.57142857143,9109.52380952381,134.5185418266995,151.34319246247367
2016-09-20,8300.0,8700.0,8300.0,8700.0,4900,VND,400.0,-400.0,8942.857142857143,9035.714285714286,9085.714285714286,171.82493859667986,174.02791237524386
2016-09-21,8800.0,9000.0,8800.0,9000.0,600,VND,200.0,-200.0,8928.57142857143,9021.42857142857,9085.714285714286,160.35674514727762,174.02791237524386
2016-09-22,8800.0,8900.0,8800.0,8900.0,11400,VND,100.0,-100.0,8900.0,9007.142857142857,9057.142857142857,141.42135623710809,150.23790657287404
2016-09-23,8600.0,9000.0,8600.0,8800.0,13300,VND,400.0,-200.0,8871.42857142857,8985.714285714286,9042.857142857143,138.01311186826348,159.91068935940314
2016-09-26,8700.0,8700.0,8700.0,8700.0,1500,VND,0.0,0.0,8871.42857142857,8950.0,9023.809523809523,138.01311186826348,175.79750255544798
2016-09-27,8600.0,8900.0,8600.0,8900.0,1600,VND,300.0,-300.0,8857.142857142857,8935.714285714286,9014.285714285714,127.24180205584483,176.8776817059887
2016-09-28,9000.0,9000.0,9000.0,9000.0,3000,VND,0.0,0.0,8857.142857142857,8921.42857142857,9004.761904761905,127.24180205584483,171.68631417839094
2016-09-29,8800.0,9000.0,8300.0,8300.0,13100,VND,700.0,500.0,8800.0,8871.42857142857,8957.142857142857,244.94897427819964,218.1087539999229
2016-09-30,8300.0,8500.0,8300.0,8500.0,5800,VND,200.0,-200.0,8728.57142857143,8828.57142857143,8923.809523809523,249.76179127499447,232.1739905862239
2016-10-03,8500.0,8500.0,8500.0,8500.0,7200,VND,0.0,0.0,8671.42857142857,8785.714285714286,8895.238095238095,249.7617912749937,245.9190730223265
2016-10-04,8300.0,8800.0,8200.0,8800.0,11500,VND,600.0,-500.0,8671.42857142857,8771.42857142857,8880.952380952382,249.7617912749937,242.11370803615682
2016-10-05,8400.0,8900.0,8400.0,8800.0,5700,VND,500.0,-400.0,8685.714285714286,8778.57142857143,8861.904761904761,254.48360411202515,231.249195622731
2016-10-06,8500.0,8500.0,8400.0,8500.0,11600,VND,100.0,0.0,8628.57142857143,8742.857142857143,8833.333333333334,242.99715851746097,237.34644158550756
2016-10-07,8400.0,8400.0,8400.0,8400.0,100,VND,0.0,0.0,8542.857142857143,8700.0,8795.238095238095,190.237946242113,239.7419247360787
2016-10-11,8300.0,8300.0,8300.0,8300.0,7500,VND,0.0,0.0,8542.857142857143,8671.42857142857,8761.904761904761,190.237946242113,257.8297703450076
2016-10-12,8200.0,8200.0,8200.0,8200.0,2000,VND,0.0,0.0,8500.0,8614.285714285714,8719.047619047618,230.94010767572232,273.1648725934873
2016-10-13,8300.0,8300.0,8300.0,8300.0,2000,VND,0.0,0.0,8471.42857142857,8571.42857142857,8680.952380952382,242.99715851746066,273.1648725934868
2016-10-14,8000.0,8600.0,8000.0,8500.0,7000,VND,600.0,-500.0,8428.57142857143,8550.0,8657.142857142857,197.60470401172094,265.65283467600466
2016-10-17,8300.0,8400.0,8300.0,8400.0,3400,VND,100.0,-100.0,8371.42857142857,8528.57142857143,8642.857142857143,111.26972805257084,271.24053637204844
2016-10-18,8700.0,8700.0,8500.0,8500.0,1100,VND,200.0,200.0,8371.42857142857,8500.0,8619.047619047618,111.26972805257084,260.0366274566247
2016-10-19,8400.0,8400.0,8400.0,8400.0,3400,VND,0.0,0.0,8371.42857142857,8457.142857142857,8590.47619047619,111.26972805257084,248.8066757639945
2016-10-20,8000.0,8400.0,8000.0,8200.0,7100,VND,400.0,-200.0,8357.142857142857,8450.0,8566.666666666666,127.24180205583724,261.40645235590637
2016-10-21,7900.0,8000.0,7900.0,8000.0,11400,VND,100.0,-100.0,8328.57142857143,8414.285714285714,8519.047619047618,179.94708216832237,269.4792155603371
2016-10-24,7800.0,8500.0,7800.0,8500.0,5200,VND,700.0,-700.0,8357.142857142857,8414.285714285714,8500.0,190.23794624211232,254.95097567957424
2016-10-25,7800.0,8000.0,7800.0,8000.0,36300,VND,200.0,-200.0,8285.714285714286,8357.142857142857,8461.904761904761,219.30626551737768,267.35031415009973
2016-10-26,7200.0,8400.0,7200.0,7600.0,17900,VND,1200.0,-400.0,8171.428571428572,8271.42857142857,8409.52380952381,330.22358947773404,320.78772093820555
2016-10-27,7000.0,7100.0,7000.0,7100.0,3500,VND,100.0,-100.0,7971.428571428572,8171.428571428572,8323.809523809523,485.5041562275495,410.98024515142754
2016-10-28,6600.0,8000.0,6500.0,8000.0,6300,VND,1500.0,-1400.0,7914.285714285715,8142.857142857143,8276.190476190477,448.80794492578923,385.8817978406434
2016-10-31,7300.0,8200.0,7300.0,8200.0,14600,VND,900.0,-900.0,7914.285714285715,8135.714285714285,8271.42857142857,448.80794492578923,386.19018260802846
2016-11-01,8100.0,8100.0,8100.0,8100.0,5000,VND,0.0,0.0,7928.571428571428,8128.571428571428,8252.380952380952,453.55736761100536,384.2122429322271
2016-11-02,7800.0,7800.0,7400.0,7700.0,41400,VND,400.0,100.0,7814.285714285715,8085.714285714285,8214.285714285714,380.47589248445587,397.8513721048089
2016-11-03,7400.0,7600.0,7400.0,7600.0,4300,VND,200.0,-200.0,7757.142857142857,8021.428571428572,8157.142857142857,377.96447300914565,395.69107719456207
2016-11-04,7600.0,7700.0,6800.0,7500.0,9200,VND,900.0,100.0,7742.857142857143,7957.142857142857,8095.238095238095,386.68308667919234,391.7603737951993
2016-11-07,7800.0,8000.0,7800.0,7800.0,4500,VND,200.0,0.0,7842.857142857143,7907.142857142857,8061.9047619047615,263.67367999811427,385.3260833062746
2016-11-08,7300.0,8000.0,7100.0,7400.0,7000,VND,900.0,-100.0,7757.142857142857,7835.714285714285,8014.285714285715,299.2052966171353,402.8470110174302
2016-11-09,7300.0,7500.0,7300.0,7500.0,4000,VND,200.0,-200.0,7657.142857142857,7785.714285714285,7976.190476190476,237.04530408851068,412.1950532268975
2016-11-10,7500.0,7700.0,7300.0,7300.0,5100,VND,400.0,200.0,7542.857142857143,7735.714285714285,7933.333333333333,171.82493859666513,433.97388554300824
2016-11-11,7500.0,7500.0,7500.0,7500.0,100,VND,0.0,0.0,7514.285714285715,7664.285714285715,7895.238095238095,157.35915849369218,435.28862893045215
2016-11-14,7300.0,7400.0,7300.0,7400.0,8800,VND,100.0,-100.0,7485.714285714285,7621.428571428572,7842.857142857143,157.35915849369206,424.9369701160286
2016-11-15,7200.0,7200.0,7200.0,7200.0,3500,VND,0.0,0.0,7442.857142857143,7592.857142857143,7785.714285714285,190.23794624210566,426.9493111432268
2016-11-16,8200.0,8200.0,8000.0,8000.0,300,VND,200.0,200.0,7471.428571428572,7657.142857142857,7761.9047619047615,256.3479777845417,398.090681222447
2016-11-18,8100.0,8100.0,8100.0,8100.0,100,VND,0.0,0.0,7571.428571428572,7664.285714285715,7747.619047619048,345.03277967108784,378.9710379686144
2016-11-21,8400.0,8400.0,7400.0,7400.0,5100,VND,1000.0,1000.0,7557.142857142857,7607.142857142857,7709.523809523809,350.5098327537777,371.35530412897424
2016-11-22,8000.0,8000.0,8000.0,8000.0,200,VND,0.0,0.0,7657.142857142857,7600.0,7709.523809523809,364.4957377762894,371.35530412897424
2016-11-23,7700.0,7800.0,7000.0,7800.0,3400,VND,800.0,-100.0,7700.0,7607.142857142857,7676.190476190476,360.555127546314,325.43011831224646
2016-11-24,7100.0,7100.0,7100.0,7100.0,600,VND,0.0,0.0,7657.142857142857,7571.428571428572,7633.333333333333,415.76092031007613,339.60761671860934
2016-11-28,8000.0,8000.0,7000.0,7400.0,7600,VND,1000.0,600.0,7685.714285714285,7564.285714285715,7623.809523809524,384.8314411468699,343.372628356895
2016-11-29,7800.0,7800.0,7800.0,7800.0,100,VND,0.0,0.0,7657.142857142857,7564.285714285715,7657.142857142857,364.49573777628933,323.3750586724172
2016-12-01,7000.0,7000.0,7000.0,7000.0,1000,VND,0.0,0.0,7500.0,7535.714285714285,7609.523809523809,378.59388971993667,343.3726283568949
2016-12-02,8000.0,8000.0,7000.0,7000.0,5000,VND,1000.0,1000.0,7442.857142857143,7500.0,7552.380952380952,423.7025012007218,340.02801005065385
2016-12-05,6900.0,6900.0,6800.0,6800.0,1400,VND,100.0,100.0,7271.428571428572,7464.285714285715,7490.476190476191,402.96519996259013,353.4186779228305
2016-12-06,6900.0,6900.0,6300.0,6900.0,9300,VND,600.0,0.0,7142.857142857143,7421.428571428572,7452.380952380952,345.7221565415603,372.3157901822146
2016-12-07,6500.0,7000.0,6500.0,7000.0,9900,VND,500.0,-500.0,7128.571428571428,7392.857142857143,7423.809523809524,349.8298906338478,383.28157000398664
2016-12-08,6300.0,6300.0,6300.0,6300.0,3000,VND,0.0,0.0,6971.428571428572,7328.571428571428,7366.666666666667,442.3960733485582,454.2392908295053
2016-12-09,6200.0,6200.0,6200.0,6200.0,200,VND,0.0,0.0,6742.857142857143,7200.0,7290.476190476191,345.722156541559,508.82684864767106
2016-12-12,6700.0,6700.0,6700.0,6700.0,100,VND,0.0,0.0,6700.0,7100.0,7257.142857142857,326.5986323709934,523.99563793164
2016-12-14,7600.0,7600.0,6300.0,6300.0,2100,VND,1300.0,1300.0,6600.0,7021.428571428572,7200.0,326.59863237099313,560.3570290448379
2016-12-16,6400.0,6700.0,6400.0,6700.0,11000,VND,300.0,-300.0,6585.714285714285,6928.571428571428,7171.428571428572,318.4785258514424,570.212992786743
2016-12-19,6800.0,7100.0,6800.0,7000.0,23700,VND,300.0,-200.0,6600.0,6871.428571428572,7147.619047619048,336.6501646119748,566.2323265400913
2016-12-20,6900.0,7000.0,6300.0,6300.0,6800,VND,700.0,600.0,6500.0,6814.285714285715,7095.238095238095,299.99999999989393,592.0102959207272
2016-12-21,6600.0,6600.0,6600.0,6600.0,4300,VND,0.0,0.0,6542.857142857143,6757.142857142857,7066.666666666667,287.84916685145924,601.110084205289
2016-12-22,6600.0,6600.0,6300.0,6400.0,12400,VND,300.0,200.0,6571.428571428572,6657.142857142857,6990.476190476191,256.3479777845383,577.8449289426339
2016-12-23,6500.0,6500.0,6500.0,6500.0,500,VND,0.0,0.0,6542.857142857143,6621.428571428572,6914.285714285715,250.71326821107658,527.5279274935779
2016-12-26,6800.0,6800.0,6800.0,6800.0,100,VND,0.0,0.0,6614.285714285715,6607.142857142857,6885.714285714285,241.02953780641624,516.0287921091897
2016-12-27,6700.0,6800.0,6700.0,6800.0,200,VND,100.0,-100.0,6628.571428571428,6607.142857142857,6828.571428571428,249.7617912749846,448.48952846505995
2016-12-28,6300.0,6500.0,6300.0,6400.0,2500,VND,200.0,-100.0,6542.857142857143,6571.428571428572,6761.9047619047615,198.8059594774405,398.09068122243787
2016-12-29,6400.0,6400.0,6400.0,6400.0,2000,VND,0.0,0.0,6557.142857142857,6528.571428571428,6728.571428571428,181.2653934348173,397.6717957597836
2016-12-30,6900.0,6900.0,6900.0,6900.0,100,VND,0.0,0.0,6600.0,6571.428571428572,6704.761904761905,223.60679774983709,369.4268404923284
2017-01-04,6600.0,6600.0,6600.0,6600.0,400,VND,0.0,0.0,6628.571428571428,6600.0,6647.619047619048,205.86634591620142,271.3283022815735
2017-01-05,6500.0,6500.0,6400.0,6400.0,2200,VND,100.0,100.0,6614.285714285715,6578.571428571428,6619.047619047619,219.30626551736887,263.8542166026549
2017-01-06,6500.0,6700.0,6300.0,6600.0,1100,VND,400.0,-100.0,6585.714285714285,6600.0,6600.0,203.5400978394867,248.99799195968018
2017-01-09,7300.0,7300.0,6700.0,7000.0,800,VND,600.0,300.0,6614.285714285715,6621.428571428572,6609.523809523809,247.84787961269313,260.585421512246
2017-01-10,6800.0,6800.0,6800.0,6800.0,100,VND,0.0,0.0,6671.428571428572,6607.142857142857,6604.761904761905,236.03873774069953,255.88315785948765
2017-01-11,6700.0,6800.0,6700.0,6800.0,1700,VND,100.0,-100.0,6728.571428571428,6642.857142857143,6595.238095238095,205.86634591620333,243.87740870392938
2017-01-12,6400.0,6500.0,6300.0,6300.0,2400,VND,200.0,100.0,6642.857142857143,6621.428571428572,6595.238095238095,243.97501823700358,243.87740870392938
2017-01-13,6900.0,7300.0,6900.0,7300.0,9500,VND,400.0,-400.0,6742.857142857143,6685.714285714285,6647.619047619048,345.72215654156054,271.32830228157354
2017-01-16,8100.0,8200.0,8100.0,8200.0,5600,VND,100.0,-100.0,7000.0,6807.142857142857,6719.047619047619,613.7317546506838,434.3029445202985
2017-01-17,9200.0,9400.0,8200.0,8600.0,65600,VND,1200.0,600.0,7285.714285714285,6935.714285714285,6828.571428571428,825.486869325318,586.6369040069094
2017-01-18,8600.0,8600.0,7700.0,7700.0,7200,VND,900.0,900.0,7385.714285714285,7000.0,6876.190476190476,827.5034167674772,615.5524038655985
2017-01-19,7900.0,8000.0,7000.0,7000.0,5300,VND,1000.0,900.0,7414.285714285715,7042.857142857143,6876.190476190476,807.1112509614248,615.5524038655985
2017-01-20,6700.0,6700.0,6500.0,6500.0,3800,VND,200.0,200.0,7371.428571428572,7050.0,6885.714285714285,851.88865805,607.6888301471975
2017-01-23,7000.0,7000.0,7000.0,7000.0,100,VND,0.0,0.0,7471.428571428572,7057.142857142857,6904.761904761905,738.7247699341284,604.5462682674881
2017-01-24,7300.0,7600.0,7300.0,7300.0,8700,VND,300.0,0.0,7471.428571428572,7107.142857142857,6947.619047619048,738.7247699341284,598.8481006223558
2017-01-25,7200.0,7200.0,7000.0,7000.0,2400,VND,200.0,200.0,7300.0,7150.0,6971.428571428572,678.232998312485,590.0363184947287
2017-02-02,8100.0,8100.0,7800.0,7900.0,2300,VND,300.0,200.0,7200.0,7242.857142857143,7023.809523809524,476.09522856946285,622.0166894101138
2017-02-03,8100.0,8100.0,7400.0,8000.0,14100,VND,700.0,100.0,7242.857142857143,7314.285714285715,7080.952380952381,538.0741673075863,654.6900393461048
2017-02-06,8400.0,8400.0,7800.0,7800.0,3000,VND,600.0,600.0,7357.142857142857,7385.714285714285,7147.619047619048,562.3081683475887,653.1608129848305
2017-02-07,7600.0,7600.0,7500.0,7600.0,4500,VND,100.0,0.0,7514.285714285715,7442.857142857143,7204.761904761905,418.04533816543164,636.7701237308077
